Age,Gender,Ethnicity ,Home Location,Education,Marital Status ,chocolate,cheese,alcohol,tea/coffee,candy,scent,salad dressing,wine
30,1,1,1,1,1,1,1,1,1,1,1,1,2
30,1,1,1,2,2,1,1,2,1,2,2,1,1
29,2,2,1,3,1,1,2,3,2,3,3,1,1
32,1,1,1,2,2,1,2,3,1,4,2,1,1
63,1,1,1,3,3,2,1,3,2,1,2,1,2
32,2,1,1,3,1,1,1,4,2,4,4,2,2
30,2,1,1,2,2,1,1,1,1,2,4,3,1
63,1,1,1,4,2,1,1,2,2,4,3,1,2
60,2,1,1,3,2,1,3,4,1,3,3,1,1
67,2,1,1,3,3,1,1,2,2,4,4,3,1
25,1,1,1,2,1,1,2,1,1,2,3,3,1
65,2,1,1,3,2,2,1,4,2,4,3,3,1
68,1,1,1,3,2,2,1,3,2,1,1,1,1
31,1,1,1,5,2,2,1,2,3,1,4,1,1
52,1,3,1,4,2,1,2,2,4,2,3,3,2
55,1,1,1,3,3,1,1,3,1,4,1,1,1
29,1,1,1,1,2,1,1,1,1,4,4,3,2
31,1,1,1,5,2,2,1,2,3,1,4,1,1
60,2,1,1,3,2,1,3,4,1,3,3,1,1
33,2,1,1,2,2,1,1,1,1,1,2,3,1
29,1,1,1,2,3,2,1,4,1,4,3,1,2
30,1,2,1,2,1,1,1,1,4,3,1,3,1
39,1,1,1,2,3,1,2,4,1,4,3,2,3
32,1,1,1,2,2,1,2,4,1,4,4,1,1
63,1,1,1,3,3,2,1,3,2,1,2,1,2
29,2,1,1,5,1,2,1,4,2,4,1,1,1
36,1,1,1,2,4,2,1,4,4,4,1,1,1
30,1,1,1,2,3,1,2,1,1,4,2,3,1
30,2,2,1,5,1,2,1,4,4,1,3,1,3
44,1,1,1,4,1,2,1,4,1,2,3,1,2
31,1,1,1,2,2,1,4,2,1,4,1,3,1
38,2,1,1,2,1,1,1,4,2,1,2,1,2
36,1,1,1,2,2,2,1,3,2,4,2,4,2
33,1,1,1,2,1,1,1,2,1,2,3,1,2
42,2,1,1,5,2,1,2,1,2,3,3,1,1
21,2,1,1,2,1,1,1,2,2,4,1,3,2
28,1,1,2,5,2,2,3,1,2,3,4,1,1
30,1,1,1,2,3,1,1,3,1,4,2,1,2
32,2,1,1,5,2,1,3,1,3,1,4,3,2
37,1,1,1,1,3,2,1,1,1,4,3,1,1
36,1,1,1,6,1,1,3,1,2,2,3,1,1
35,2,1,1,4,2,1,1,1,3,4,3,4,1
28,2,1,1,2,1,1,2,4,2,4,3,3,2
25,2,1,1,4,1,2,1,4,2,1,3,1,1
35,1,1,2,4,1,2,4,3,1,4,4,4,2
40,2,1,2,3,2,1,1,4,2,1,4,1,1
50,2,1,3,2,1,2,2,4,1,1,3,2,2
33,1,1,1,3,2,1,2,1,1,4,1,3,1
25,2,1,1,2,1,2,1,1,3,4,4,3,2
21,1,1,1,2,1,2,1,2,3,2,3,1,1
25,1,1,1,2,2,1,1,3,1,4,1,3,1
-1,2,1,1,2,2,1,1,1,2,4,2,3,1
24,1,1,2,3,2,1,1,1,2,4,2,1,2
21,2,1,1,4,1,2,1,1,3,2,3,2,1
21,1,1,1,2,1,1,2,4,1,4,2,2,1
32,1,3,1,2,3,1,2,1,2,2,2,4,1
35,2,1,2,6,1,1,1,1,2,4,3,1,3
21,3,1,1,6,1,3,1,4,1,2,3,1,2
23,2,1,3,3,1,1,1,4,1,4,4,1,2
33,2,1,1,2,1,1,1,1,2,2,1,1,1
29,2,1,1,4,1,2,2,4,1,4,2,1,2
24,2,1,1,2,4,1,1,4,2,3,2,1,1
21,1,1,2,4,1,1,1,4,2,1,4,2,3
24,1,1,1,2,1,2,1,4,4,4,1,3,2
29,1,1,1,2,4,1,1,3,2,2,1,1,1
26,1,1,1,6,1,2,2,1,4,4,1,3,2
25,2,1,1,1,1,2,2,1,4,2,4,3,1
40,1,1,1,2,2,1,1,2,1,4,4,2,2
28,2,1,3,7,1,4,1,4,2,3,2,1,1
32,4,4,4,6,4,1,1,3,2,1,1,1,2
22,1,1,5,2,1,2,3,3,4,4,3,1,2
26,2,3,1,4,1,3,1,1,4,1,2,3,3
30,1,2,1,2,2,1,2,4,1,2,2,1,1
30,2,1,1,1,1,2,1,1,2,4,2,4,1
24,2,1,1,1,1,2,3,1,4,4,3,3,2
36,2,1,1,5,4,1,1,4,2,2,1,1,1
25,2,1,1,4,2,2,1,1,2,2,1,3,2
26,2,5,5,4,2,1,2,4,2,1,2,1,2
23,2,1,3,7,1,2,1,3,4,2,3,1,1
