,Age,GenderValue,EthnicityValue,HomeValue,EducationValue,MaritalValue,ChocolateValue,CheeseValue,AlcoholValue,CoffeeTeaValue,CandyValue,ScentValue,DressingValue,WineValue
0,30,1,1,1,1,1,1,1,1,1,1,1,1,2
1,30,1,1,1,2,2,1,1,2,1,2,2,1,1
2,32,1,1,1,2,2,1,2,3,1,4,2,1,1
3,63,1,1,1,3,3,2,1,3,2,1,2,1,2
4,32,2,1,1,3,1,1,1,4,2,4,4,2,2
5,30,2,1,1,2,2,1,1,1,1,2,4,3,1
6,63,1,1,1,4,2,1,1,2,2,4,3,1,2
7,60,2,1,1,3,2,1,3,4,1,3,3,1,1
8,67,2,1,1,3,3,1,1,2,2,4,4,3,1
9,25,1,1,1,2,1,1,2,1,1,2,3,3,1
10,65,2,1,1,3,2,2,1,4,2,4,3,3,1
11,68,1,1,1,3,2,2,1,3,2,1,1,1,1
12,31,1,1,1,5,2,2,1,2,3,1,4,1,1
13,55,1,1,1,3,3,1,1,3,1,4,1,1,1
14,29,1,1,1,1,2,1,1,1,1,4,4,3,2
15,31,1,1,1,5,2,2,1,2,3,1,4,1,1
16,60,2,1,1,3,2,1,3,4,1,3,3,1,1
17,33,2,1,1,2,2,1,1,1,1,1,2,3,1
18,29,1,1,1,2,3,2,1,4,1,4,3,1,2
19,39,1,1,1,2,3,1,2,4,1,4,3,2,3
20,32,1,1,1,2,2,1,2,4,1,4,4,1,1
21,63,1,1,1,3,3,2,1,3,2,1,2,1,2
22,29,2,1,1,5,1,2,1,4,2,4,1,1,1
23,36,1,1,1,2,4,2,1,4,4,4,1,1,1
24,30,1,1,1,2,3,1,2,1,1,4,2,3,1
25,44,1,1,1,4,1,2,1,4,1,2,3,1,2
26,31,1,1,1,2,2,1,4,2,1,4,1,3,1
27,38,2,1,1,2,1,1,1,4,2,1,2,1,2
28,36,1,1,1,2,2,2,1,3,2,4,2,4,2
29,33,1,1,1,2,1,1,1,2,1,2,3,1,2
30,42,2,1,1,5,2,1,2,1,2,3,3,1,1
31,21,2,1,1,2,1,1,1,2,2,4,1,3,2
32,28,1,1,2,5,2,2,3,1,2,3,4,1,1
33,30,1,1,1,2,3,1,1,3,1,4,2,1,2
34,32,2,1,1,5,2,1,3,1,3,1,4,3,2
35,37,1,1,1,1,3,2,1,1,1,4,3,1,1
36,36,1,1,1,6,1,1,3,1,2,2,3,1,1
37,35,2,1,1,4,2,1,1,1,3,4,3,4,1
38,28,2,1,1,2,1,1,2,4,2,4,3,3,2
39,25,2,1,1,4,1,2,1,4,2,1,3,1,1
40,35,1,1,2,4,1,2,4,3,1,4,4,4,2
41,40,2,1,2,3,2,1,1,4,2,1,4,1,1
42,50,2,1,3,2,1,2,2,4,1,1,3,2,2
43,33,1,1,1,3,2,1,2,1,1,4,1,3,1
44,25,2,1,1,2,1,2,1,1,3,4,4,3,2
45,21,1,1,1,2,1,2,1,2,3,2,3,1,1
46,25,1,1,1,2,2,1,1,3,1,4,1,3,1
47,-1,2,1,1,2,2,1,1,1,2,4,2,3,1
48,24,1,1,2,3,2,1,1,1,2,4,2,1,2
49,21,2,1,1,4,1,2,1,1,3,2,3,2,1
